COLOR KEY:,,Ready for Issuance,,,,FEB,MARCH,APRIL,,ATFS TOPLINE PLC,FEB,MAR,APR,,,,,,,,,,,,
,,Sourcing,,,100 dy,8/2/23,8/23/23,9/27/23,,IN STORE DATE (7 dys pre Ex),1/8/24,1/29/24,3/4/24,,,,,,,,,,,,
,,Canceled,,,85 dy,8/17/23,9/7/23,10/12/23,,EARLY ACCESS DATE-ISD- 28 dys pre REG ISD,12/18/23,1/8/24,2/12/24,,,,,,,,,,,,
,,PO issued,,,65 dy,9/6/23,9/27/23,11/1/23,,,,,,,,,,,,,,,,,
,,Waiting on SB,,,,,,,,,,,,,,,,,,,,,,,
,,Merchant,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DATE ADDED,PROGRAM ,DEPARTMENT,SIZE TYPE,CHANNEL,STYLE NO,STYLE DESC.,COLOR #,COLOR DESC.,STORESET,IS DATE,ORDER QTY,RETAIL,SIZE PROFILE,BBR OFFER ,AC DATE,BBR LUC,BBR SUC,BBR TRANS MODE,MATCHED Y/N,PO COORDINATOR COMMENTS,MERCHANT COMMENTS,SOURCING COMMENTS,ACTION NEEDED,PO NUMBER,Due Date
,,P Pants,PETITE,Stores,863196,Mid Rise Girlfriend Denim With Rolled Hem - White-PETITE,9000,White,2024-MAR BOM,1/29/24,"1,364",$89.99 ,604_Petite_Numeric,196014-FINAL 7/27 PETITE,11/15/23,$13.63 ,$9.56 ,SEA,,,BB 7/28 ready for match,,Sourcing,,
,,P Pants,PETITE,Stores,863196,Mid Rise Girlfriend Denim With Rolled Hem - White-PETITE,9000,White,2024-APR BOM,3/4/24,559,$89.99 ,604_Petite_Numeric,196014-FINAL 7/27 PETITE,12/20/23,$13.63 ,$9.56 ,SEA,,,BB 7/28 ready for match,,Sourcing,,
,,P Pants,PETITE,Stores,863264,High Rise Bootcut Denim With Clean Hem-PETITE,2800,Clean Rinse Wash,2024-FEB BOM,1/29/24,409,$98.99 ,604_Petite_Numeric,,,,,SEA,,,BB 7/28 data missing from APT,,Merchant,,
,,P Pants,PETITE,Stores,863264,High Rise Bootcut Denim With Clean Hem-PETITE,2800,Clean Rinse Wash,2024-MAR BOM,1/8/24,"1,217",$98.99 ,604_Petite_Numeric,,,,,SEA,,,BB 7/28 data missing from APT,,Merchant,,
,,M Pants,MISSY,Stores,864696,Mid Rise Girlfriend Denim With Rolled Hem - White-MISSY,9000,White,2024-APR BOM,3/4/24,462,$89.99 ,601_Missy_Numeric,185808-FINAL 7/14 AS LR,12/20/23,$13.93 ,$9.80 ,SEA,,,BB 7/28 ready for match,,Sourcing,,
,,M Pants,MISSY,Stores,864696,Mid Rise Girlfriend Denim With Rolled Hem - White-MISSY,9000,White,2024-MAR BOM,1/8/24,117,$89.99 ,601_Missy_Numeric,201938-FINAL 7/25 PREVIEW,12/18/23,$20.84 ,$9.80 ,AIR,,,BB 7/28 ready for match,,Sourcing,,
,,M Pants,MISSY,Stores,864696,Mid Rise Girlfriend Denim With Rolled Hem - White-MISSY,9000,White,2024-MAR BOM,1/29/24,"1,421",$89.99 ,601_Missy_Numeric,185808-FINAL 7/14 AS LR,11/15/23,$13.93 ,$9.80 ,SEA,,,BB 7/28 ready for match,,Sourcing,,
,,M Pants,MISSY,Stores,871236,Curvy Mid Rise Girlfriend Denim With Rolled Hem - White-MISSY,9000,White,2024-MAR BOM,1/29/24,"1,400",$89.99 ,601_Missy_Numeric,185809-FINAL 7/25 CURVY,11/15/23,$14.61 ,$10.31 ,SEA,,,BB 7/28 ready for match,,Sourcing,,
,,M Pants,MISSY,Stores,871236,Curvy Mid Rise Girlfriend Denim With Rolled Hem - White-MISSY,9000,White,2024-APR BOM,3/4/24,513,$89.99 ,601_Missy_Numeric,185809-FINAL 7/25 CURVY,12/20/23,$14.61 ,$10.31 ,SEA,,,BB 7/28 ready for match,,Sourcing,,
,,M Pants,MISSY,Stores,871266,Curvy High Rise Bootcut Denim With Clean Hem-MISSY,2800,Clean Rinse Wash,2024-FEB BOM,1/8/24,"1,333",$98.99 ,601_Missy_Numeric,202596-FINAL 07/26 COST FOR CURVY MISSY,10/24/23,$16.15 ,$11.50 ,SEA,,,BB 7/28 ready for match,,Sourcing,,
,,M Pants,MISSY,Stores,871266,Curvy High Rise Bootcut Denim With Clean Hem-MISSY,2800,Clean Rinse Wash,2024-MAR BOM,1/29/24,390,$98.99 ,601_Missy_Numeric,202596-FINAL 07/26 COST FOR CURVY MISSY,11/15/23,$16.15 ,$11.50 ,SEA,,,BB 7/28 missing APT data,,Merchant,,
,,M Pants,MISSY,Stores,871268,High Rise Bootcut Denim With Clean Hem-MISSY,2800,Clean Rinse Wash,2024-MAR BOM,1/29/24,496,$98.99 ,601_Missy_Numeric,198276-FINAL 07/14 BASED ON TC POCKET,11/15/23,$15.63 ,$11.11 ,SEA,,,BB 7/28 missing APT data,,Merchant,,
,,M Pants,MISSY,Stores,871268,High Rise Bootcut Denim With Clean Hem-MISSY,2800,Clean Rinse Wash,2024-FEB BOM,12/18/23,117,$98.99 ,601_Missy_Numeric,202410-FINAL 07/26 COST ON EARLY ACCESS,11/27/23,$21.52 ,$11.11 ,AIR,,,BB 7/28 ready for match,,Sourcing,,
,,M Pants,MISSY,Stores,871268,High Rise Bootcut Denim With Clean Hem-MISSY,2800,Clean Rinse Wash,2024-FEB BOM,1/8/24,"1,268",$98.99 ,601_Missy_Numeric,198276-FINAL 07/14 BASED ON TC POCKET,10/24/23,$15.63 ,$11.11 ,SEA,,,BB 7/28 ready for match,,Sourcing,,
